,Product_name,Prices,Description,Reviews
149,"Tecno Pova Neo (Geek Blue, 128 GB)","₹10,799","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 256 GB</li>",4.1
150,"realme C25_Y (Metal Grey, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
151,"REDMI NOTE 10 LITE (Champagne Gold, 128 GB)","₹14,489","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.3
152,"realme C21Y (Cross Blue, 64 GB)","₹10,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.5
153,"realme Narzo 30 (Racing Blue, 64 GB)","₹13,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.4
154,"MOTOROLA G40 Fusion (Frosted Champagne, 64 GB)","₹14,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
155,"OPPO A57 (Glowing Gold, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
156,"realme C25_Y (Glacier Blue, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.5
157,"REDMI 10A (CHARCOAL BLACK, 128 GB)","₹11,699","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.1
158,"oppo A17K (Gold, 64 GB)","₹9,871","<li class=""rgWa7D"">3 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.5
159,"SAMSUNG Galaxy F22 (Denim Black, 64 GB)","₹11,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.3
160,"OPPO A16 (Pearl Blue, 64 GB)","₹12,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.3
161,"MOTOROLA G30 (Dark Pearl, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.1
162,"REDMI 11 Prime (Playful Green, 64 GB)","₹11,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
163,"REDMI 11 Prime (Peppy Purple, 128 GB)","₹14,999","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
164,"Infinix Hot 11S (Polar Black, 64 GB)","₹10,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 256 GB</li>",4.3
165,"SAMSUNG Galaxy M04 (Dark Blue, 128 GB)","₹10,329","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM</li>",4.2
166,"OPPO A57 (Glowing Black, 64 GB)","₹13,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.4
167,"SAMSUNG GALAXY M13 5G (Aqua Green, 128 GB)","₹14,989","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4.1
168,"REDMI 11 Prime (FlashyBlack, 128 GB)","₹14,779","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM</li>",4
169,"REDMI 11 Prime (Flashy Black, 64 GB)","₹11,438","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM</li>",4.2
170,"SAMSUNG Galaxy A13 (Blue, 64 GB)","₹14,999","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 1 TB</li>",4.1
171,"REDMI Note 9 (Scarlet Red, 128 GB)","₹13,499","<li class=""rgWa7D"">4 GB RAM | 128 GB ROM | Expandable Upto 512 GB</li>",4.3
172,"Infinix Note 11 (Graphite Black, 64 GB)","₹12,499","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 512 GB</li>",4.3
173,"OPPO A17 (Lake Blue, 64 GB)","₹13,990","<li class=""rgWa7D"">4 GB RAM | 64 GB ROM | Expandable Upto 2 TB</li>",4.4
174,"SAMSUNG Galaxy F22 (Denim Blue, 128 GB)","₹13,499","<li class=""rgWa7D"">6 GB RAM | 128 GB ROM | Expandable Upto 1 TB</li>",4.3
